IDS,Income,Solar energy,Num of members,Energy usage
1144,5,0,1,1
1145,2,-2,2,1
1146,7,0,4,4
1147,3,0,3,3
1148,1,0,8,4
1149,2,0,2,1
1150,1,0,1,2
1151,6,0,3,4
1152,5,0,3,4
1153,2,0,1,2
1154,3,-2,3,4
1155,2,0,2,2
1156,1,0,2,4
1157,6,0,3,2
1158,1,-2,1,1
1159,2,0,6,2
1160,1,0,1,1
1161,6,0,5,2
1162,2,-2,5,4
1163,2,0,4,4
1164,6,0,2,4
1165,8,0,2,4
1166,4,-2,1,1
1167,6,-2,2,2
1168,7,0,5,3
1169,2,0,3,3
1170,3,0,2,3
1171,6,0,2,4
1172,2,-2,1,1
1173,5,0,1,2
1174,6,0,3,4
1175,1,-2,4,2
1176,4,0,2,4
1177,4,0,4,3
1178,7,1,5,2
1179,5,0,5,3
1180,3,0,1,2
1181,2,-2,3,3
1182,2,-2,6,3
1183,4,0,4,2
1184,3,0,5,3
1185,8,0,6,4
1186,3,0,2,4
1187,1,0,1,1
1188,4,-2,3,1
1189,5,0,4,4
1190,2,0,2,3
1191,7,0,2,4
1192,2,0,4,4
1193,3,0,2,4
1194,8,0,2,2
1195,1,0,1,1
1196,1,0,1,1
1197,6,-2,2,2
1198,2,0,1,3
1199,4,0,5,4
1200,8,0,4,4
1201,3,0,2,4
1202,4,-2,3,2
1203,3,-2,2,1
1204,1,0,1,1
1205,7,0,4,4
1206,2,-2,2,1
1207,3,0,4,2
1208,7,0,3,2
1209,5,-2,2,1
1210,2,0,3,2
1211,6,0,2,3
1212,6,0,2,4
1213,7,0,2,4
1214,4,0,2,2
1215,8,0,2,4
1216,8,0,1,1
1217,2,0,2,3
1218,2,0,2,1
1219,1,-2,1,2
1220,5,0,3,4
1221,3,0,2,3
1222,4,0,2,4
1223,4,0,11,3
1224,1,0,1,1
1225,2,0,2,2
1226,1,-2,1,1
1227,2,0,3,4
1228,2,0,4,1
1229,8,0,2,3
1230,6,0,2,2
1231,5,0,2,1
1232,1,-2,2,2
1233,3,0,3,4
1234,1,0,3,2
1235,2,0,1,2
1236,3,0,3,2
1237,4,-2,4,3
1238,1,0,2,4
1239,1,0,1,1
1240,4,0,5,4
1241,4,0,3,4
1242,2,-2,1,2
1243,2,0,1,4
1244,5,0,4,4
1245,1,0,2,4
1246,3,0,4,2
1247,6,0,3,4
1248,3,0,4,2
1249,3,0,3,3
1250,2,0,2,3
1251,2,0,5,3
1252,4,0,2,3
1253,3,0,1,2
1254,1,-2,1,2
1255,2,0,4,1
1256,6,-2,3,1
1257,8,0,2,1
1258,1,-2,1,1
1259,6,0,3,1
1260,6,0,2,2
1261,4,0,1,3
1262,1,-2,3,2
1263,4,0,3,3
1264,6,0,3,2
1265,4,0,2,1
1266,7,0,2,4
1267,3,0,5,1
1268,3,0,4,4
1269,5,0,4,3
1270,8,0,2,4
1271,4,0,3,4
1272,5,0,1,2
1273,6,0,2,2
1274,3,0,2,3
1275,4,0,3,2
1276,4,0,2,4
1277,1,0,2,3
1278,2,0,2,2
1279,5,0,2,3
1280,3,0,3,2
1281,3,0,2,2
1282,1,0,1,2
1283,1,0,4,3
1284,3,-2,2,3
1285,2,0,1,1
1286,1,-2,1,2
1287,1,0,2,2
1288,3,0,3,1
1289,2,0,2,2
1290,5,0,2,3
1291,3,0,5,1
1292,5,0,2,3
1293,4,0,2,1
1294,1,-2,2,1
1295,6,0,1,2
1296,1,-2,1,2
1297,4,0,2,3
1298,1,0,9,3
1299,2,-2,1,1
1300,1,-2,3,1
1301,7,0,3,2
1302,1,-2,4,3
1303,8,0,2,2
1304,2,0,4,3
1305,6,0,4,3
1306,1,0,3,4
1307,2,0,1,3
1308,3,0,2,4
1309,1,-2,1,1
1310,3,-2,2,3
1311,4,0,3,3
1312,1,0,1,4
1313,5,0,2,2
1314,1,-2,2,1
1315,5,0,3,3
1316,4,0,2,2
1317,3,0,1,2
1318,2,0,1,1
1319,2,0,3,2
1320,3,0,1,1
1321,2,0,2,2
1322,3,0,3,4
1323,8,0,5,4
1324,3,0,2,3
1325,2,0,2,4
1326,5,0,2,1
1327,8,0,2,4
